address,target_building_id,address_top10,target_building_id_top10
"г.Санкт-Петербург, Большая Монетная улица, дом 31-33, литера А",56021,"['г.Санкт-Петербург, Большая Монетная улица, дом 31-33, литера А', 'г.Санкт-Петербург, Тепловозная улица, дом 31, литера А', 'г.Санкт-Петербург, проспект Большевиков, дом 31, литера А', 'г.Санкт-Петербург, улица Новостроек, дом 31, литера А', 'г.Санкт-Петербург, улица Композиторов, дом 31, корпус 1, литера А', 'г.Санкт-Петербург, Бестужевская улица, дом 31, корпус 1, литера А', 'г.Санкт-Петербург, улица Коллонтай, дом 31, корпус 1, литера А', 'г.Санкт-Петербург, Яхтенная улица, дом 31, литера А', 'г.Санкт-Петербург, Большая Озёрная улица, дом 31, литера А', 'г.Санкт-Петербург, улица Крыленко, дом 31, литера А']","[56021, 22670, 21620, 71716, 100810, 69785, 24462, 77809, 50884, 66825]"
"город Красное Село, улица Спирина, дом 16, корпус 1, литера А",199275,"['город Красное Село, улица Спирина, дом 16, корпус 1, литера А', 'посёлок Шушары, территория Славянка, Полоцкая улица, дом 16, корпус 1, литера А', 'город Петергоф, улица Шахматова, дом 16, корпус 1, литера А', 'город Петергоф, Ботаническая улица, дом 16, корпус 1, литера А', 'муниципальный округ Полюстрово, аллея Евгения Шварца, дом 16, строение 1', 'г.Санкт-Петербург, улица Коллонтай, дом 16, корпус 1, литера А', 'город Колпино, Финляндская улица, дом 16, корпус 1, литера А', 'город Павловск, улица Луначарского, дом 16, корпус 1, литера А', 'г.Санкт-Петербург, улица Шотмана, дом 16, корпус 1, литера А', 'г.Санкт-Петербург, улица Кораблестроителей, дом 16, корпус 1, литера А']","[199275, 69393, 62303, 78516, 214994, 64442, 71751, 117467, 7772, 11853]"
"муниципальный округ Полюстрово, Васнецовский проспект, дом 17",212620,"['муниципальный округ Полюстрово, Васнецовский проспект, дом 17', 'г.Санкт-Петербург, Торфяная дорога, дом 17, литера А', 'город Петергоф, Суворовский городок, дом 17, литера А', 'г.Санкт-Петербург, Октябрьская набережная, дом 17, литера А', 'г.Санкт-Петербург, Хрустальная улица, дом 17, литера А', 'г.Санкт-Петербург, Искровский проспект, дом 17, корпус 1, литера А', 'г.Санкт-Петербург, проспект Пятилеток, дом 17, корпус 1, литера А', 'г.Санкт-Петербург, проспект Авиаконструкторов, дом 17, корпус 1, литера А', 'г.Санкт-Петербург, улица Седова, дом 17, корпус 1, литера А', 'г.Санкт-Петербург, Шкиперский проток, дом 17, литера А']","[212620, 2112, 11847, 104783, 82573, 132681, 81416, 7637, 45713, 94070]"
"город Ломоносов, Михайловская улица, дом 24/22, литера А",32105,"['город Ломоносов, Михайловская улица, дом 24/22, литера А', 'город Ломоносов, Нагорная улица, дом 24, литера А', 'город Ломоносов, улица Победы, дом 24, литера А', 'город Ломоносов, Центральная улица, дом 24, литера А', 'г.Санкт-Петербург, улица Танкиста Хрустицкого, дом 24, литера А', 'город Ломоносов, Швейцарская улица, дом 24а, литера А', 'посёлок Шушары, Новая Ижора, Кобринская улица, дом 24, литера А', 'город Ломоносов, улица Некрасова, дом 24, литера А', 'город Ломоносов, улица Связи, дом 24, литера А', 'город Ломоносов, Александровская улица, дом 24а, литера А']","[32105, 126923, 77626, 128525, 53214, 87730, 82299, 92475, 77750, 11380]"
"город Ломоносов, Октябрьская улица, дом 3, литера А",7822,"['город Ломоносов, Октябрьская улица, дом 3, литера А', 'город Ломоносов, Красноармейская улица, дом 3, литера А', 'город Ломоносов, Ботаническая улица, дом 3, литера А', 'город Ломоносов, Балтийская улица, дом 3, литера А', 'город Ломоносов, Михайловская улица, дом 3, литера А', 'город Ломоносов, Новогорская улица, дом 3, литера А', 'город Ломоносов, улица Евгения Ефета, дом 3, литера А', 'город Ломоносов, Манежная улица, дом 3, литера А', 'город Ломоносов, улица Черникова, дом 3, литера А', 'город Ломоносов, улица Дегтярёва, дом 3, литера А']","[7822, 13414, 17949, 64040, 23752, 39357, 132517, 96527, 141009, 6003]"
"посёлок Парголово, улица Михаила Дудина, дом 6, корпус 1, строение 1",212873,"['посёлок Парголово, улица Михаила Дудина, дом 6, корпус 1, строение 1', 'г.Санкт-Петербург, Большая Подьяческая улица, дом 6, литера А', 'г.Санкт-Петербург, Корабельная улица, дом 6, литера А', 'город Петергоф, Прогонная улица, дом 6, литера А', 'город Петергоф, Константиновская улица, дом 6, литера А', 'г.Санкт-Петербург, Броневая улица, дом 6, литера АИ', 'г.Санкт-Петербург, улица Зины Портновой, дом 6, литера А', 'город Сестрорецк, Садовая улица, дом 6, литера А', 'г.Санкт-Петербург, улица Ивана Фомина, дом 6, литера А', 'г.Санкт-Петербург, Большая Монетная улица, дом 6, литера А']","[212873, 40708, 78179, 62053, 103809, 71005, 7346, 32634, 107732, 80023]"
"муниципальный округ Коломяги, улица Лидии Зверевой, дом 9, корпус 2, строение 1",215974,"['муниципальный округ Коломяги, улица Лидии Зверевой, дом 9, корпус 2, строение 1', 'город Кронштадт, Советская улица, дом 9, корпус 2, литера А', 'г.Санкт-Петербург, набережная реки Карповки, дом 9, корпус 2, литера А', 'посёлок Шушары, территория Славянка, Ростовская улица, дом 9, корпус 2, литера А', 'муниципальный округ Правобережный, улица Ворошилова, дом 9, корпус 2, литера А', 'муниципальный округ Невский округ, Архивная улица, дом 9, корпус 2, строение 1', 'посёлок Парголово, территория Торфяное, Старожиловская улица, дом 9, корпус 2, литера А', 'посёлок Шушары, Славянка, Северская улица, дом 9, корпус 2, литера А', 'город Красное Село, улица Спирина, дом 9, корпус 2, литера А', 'город Красное Село, Гатчинское шоссе, дом 9, корпус 2, литера А']","[215974, 101130, 175293, 50464, 63941, 215565, 83569, 130586, 117624, 42660]"
"г.Санкт-Петербург, проспект Большевиков, дом 36, корпус 2, литера А",7788,"['г.Санкт-Петербург, проспект Большевиков, дом 36, корпус 2, литера А', 'г.Санкт-Петербург, Богатырский проспект, дом 36, корпус 2, литера А', 'город Колпино, Пролетарская улица, дом 36, корпус 2, литера А', 'г.Санкт-Петербург, улица Пограничника Гарькавого, дом 36, корпус 2, литера А', 'г.Санкт-Петербург, улица Дыбенко, дом 36, корпус 2, литера А', 'г.Санкт-Петербург, улица Тельмана, дом 36, корпус 2, литера М', 'город Ломоносов, улица Победы, дом 36, корпус 2, литера А', 'г.Санкт-Петербург, Купчинская улица, дом 36, корпус 2, литера А', 'г.Санкт-Петербург, Будапештская улица, дом 36, корпус 2, литера А', 'посёлок Стрельна, Санкт-Петербургское шоссе, дом 36, корпус 2, литера А']","[7788, 40637, 20419, 62406, 87702, 47700, 72636, 39146, 5926, 96328]"
"г.Санкт-Петербург, улица Коммуны, дом 28, корпус 1, литера А",69251,"['г.Санкт-Петербург, улица Коммуны, дом 28, корпус 1, литера А', 'посёлок Шушары, территория Славянка, Колпинское шоссе, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, улица Пилотов, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, Конная улица, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, улица Коллонтай, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, Караваевская улица, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, улица Доблести, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, Камышовая улица, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, Серебристый бульвар, дом 28, корпус 1, литера А', 'г.Санкт-Петербург, улица Пограничника Гарькавого, дом 28, корпус 1, литера А']","[69251, 94435, 5137, 47476, 57946, 100046, 44217, 13933, 49344, 9193]"
"г.Санкт-Петербург, Дунайский проспект, дом 15, корпус 2, литера А",132489,"['г.Санкт-Петербург, Дунайский проспект, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, проспект Испытателей, дом 15, корпус 2, литера А', 'город Красное Село, проспект Ленина, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, проспект Наставников, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, проспект Славы, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, Коломяжский проспект, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, Трамвайный проспект, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, проспект Авиаконструкторов, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, проспект Пятилеток, дом 15, корпус 2, литера А', 'г.Санкт-Петербург, проспект Культуры, дом 15, корпус 2, литера А']","[132489, 3541, 8815, 95280, 86829, 106374, 100781, 38626, 68659, 1354]"
"г.Санкт-Петербург, Миллионная улица, дом 18, литера А",100529,"['г.Санкт-Петербург, Миллионная улица, дом 18, литера А', 'г.Санкт-Петербург, улица Пограничника Гарькавого, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, Фарфоровская улица, дом 18, литера А', 'г.Санкт-Петербург, улица Хошимина, дом 18, литера А', 'г.Санкт-Петербург, Новая улица, дом 18, литера А', 'г.Санкт-Петербург, Омская улица, дом 18, литера А', 'г.Санкт-Петербург, Серпуховская улица, дом 18, литера А', 'г.Санкт-Петербург, Туристская улица, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, Эриванская улица, дом 18, литера А', 'г.Санкт-Петербург, Смоленская улица, дом 18, литера А']","[100529, 111568, 126293, 140841, 77045, 72972, 85192, 126066, 186086, 209645]"
"г.Санкт-Петербург, проспект Большевиков, дом 60, корпус 2, литера А",214698,"['г.Санкт-Петербург, проспект Большевиков, дом 60, корпус 2, литера А', 'г.Санкт-Петербург, Богатырский проспект, дом 60, корпус 2, литера А', 'г.Санкт-Петербург, проспект Энергетиков, дом 60, корпус 2, литера А', 'г.Санкт-Петербург, Светлановский проспект, дом 60, корпус 2, литера А', 'г.Санкт-Петербург, проспект Маршала Жукова, дом 60, корпус 2, литера А', 'муниципальный округ Коломяги, территория Шувалово, Новоалександровская улица, дом 60, корпус 2, литера А', 'город Колпино, Заводской проспект, дом 60, корпус 2, литера А', 'город Колпино, проспект Ленина, дом 60, корпус 2, литера А', 'г.Санкт-Петербург, улица Добровольцев, дом 60, корпус 2, литера А', 'г.Санкт-Петербург, Парашютная улица, дом 60, корпус 2, литера А']","[214698, 75565, 9708, 3984, 669, 94922, 87321, 55975, 63989, 204781]"
"муниципальный округ Полюстрово, Васнецовский проспект, дом 17",212620,"['муниципальный округ Полюстрово, Васнецовский проспект, дом 17', 'г.Санкт-Петербург, Богатырский проспект, дом 17, литера А', 'г.Санкт-Петербург, Невский проспект, дом 17, литера А', 'г.Санкт-Петербург, Кондратьевский проспект, дом 17, литера А', 'г.Санкт-Петербург, Загородный проспект, дом 17, литера А', 'г.Санкт-Петербург, проспект Чернышевского, дом 17, литера А', 'г.Санкт-Петербург, Торфяная дорога, дом 17, литера А', 'г.Санкт-Петербург, Искровский проспект, дом 17, корпус 1, литера А', 'г.Санкт-Петербург, проспект Славы, дом 17, литера А', 'г.Санкт-Петербург, проспект Культуры, дом 17, литера А']","[212620, 19327, 21667, 49657, 74168, 90596, 2112, 132681, 8302, 17789]"
"г.Санкт-Петербург, Плесецкая улица, дом 10, строение 1",216586,"['г.Санкт-Петербург, Плесецкая улица, дом 10, строение 1', 'г.Санкт-Петербург, улица Пограничника Гарькавого, дом 10, корпус 1, литера А', 'г.Санкт-Петербург, Фарфоровская улица, дом 10, литера А', 'г.Санкт-Петербург, Большая Подьяческая улица, дом 10, литера А', 'г.Санкт-Петербург, Полтавская улица, дом 10, литера А', 'г.Санкт-Петербург, улица Коллонтай, дом 10, литера А', 'г.Санкт-Петербург, Новолитовская улица, дом 10, литера А', 'г.Санкт-Петербург, Малая Подьяческая улица, дом 10, литера А', 'г.Санкт-Петербург, Колпинская улица, дом 10, литера А', 'г.Санкт-Петербург, улица Полярников, дом 10, литера А']","[216586, 174215, 31503, 116234, 198640, 204553, 85255, 11839, 64344, 3176]"
"г.Санкт-Петербург, проспект Ветеранов, дом 3, корпус 1, литера А",94682,"['г.Санкт-Петербург, проспект Ветеранов, дом 3, корпус 1, литера А', 'г.Санкт-Петербург, проспект Большевиков, дом 3, литера А', 'г.Санкт-Петербург, проспект Большевиков, дом 3, корпус 1, литера А', 'г.Санкт-Петербург, проспект Елизарова, дом 3, литера А', 'г.Санкт-Петербург, Дальневосточный проспект, дом 3, литера А', 'Московское направление ж.д. путепровод № 4 через Южное шоссе, литера А', 'г.Санкт-Петербург, Лесной проспект, дом 3, литера А', 'г.Санкт-Петербург, Невский проспект, дом 3, литера А', 'г.Санкт-Петербург, Богатырский проспект, дом 3, корпус 1, литера А', 'г.Санкт-Петербург, проспект Солидарности, дом 3, корпус 1, литера А']","[94682, 199911, 46519, 14287, 17394, 201952, 94648, 46591, 15028, 66315]"
"г.Санкт-Петербург, Кронверкский проспект, дом 7, литера Л",21083,"['г.Санкт-Петербург, Кронверкский проспект, дом 7, литера Л', 'г.Санкт-Петербург, Старопутиловский вал, дом 7, корпус 1, литера А', 'г.Санкт-Петербург, Большая Подьяческая улица, дом 7, литера А', 'г.Санкт-Петербург, Большая Морская улица, дом 7, литера А', 'г.Санкт-Петербург, Средняя Подьяческая улица, дом 7, литера А', 'г.Санкт-Петербург, Гончарная улица, дом 7, литера А', 'муниципальный округ Правобережный, улица Ворошилова, дом 7, литера А', 'г.Санкт-Петербург, набережная реки Фонтанки, дом 7, литера А', 'г.Санкт-Петербург, Большая Пушкарская улица, дом 7, литера А', 'г.Санкт-Петербург, улица Генерала Хрулёва, дом 7, литера А']","[21083, 81236, 4719, 83468, 42016, 93256, 96205, 24704, 26976, 55526]"
"г.Санкт-Петербург, Дальневосточный проспект, дом 42, корпус 2, литера А",79118,"['г.Санкт-Петербург, Дальневосточный проспект, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, проспект Большевиков, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, проспект Королёва, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, проспект Луначарского, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, Индустриальный проспект, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, Московское шоссе, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, проспект Авиаконструкторов, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, Новоизмайловский проспект, дом 42, корпус 2, литера А', 'г.Санкт-Петербург, Юнтоловский проспект, дом 42, корпус 2, строение 1', 'г.Санкт-Петербург, проспект Тореза, дом 42, корпус 2, литера А']","[79118, 116047, 15929, 114005, 128760, 9807, 89176, 68576, 214028, 70792]"
"г.Санкт-Петербург, Бестужевская улица, дом 25, литера А",46493,"['г.Санкт-Петербург, Бестужевская улица, дом 25, литера А', 'г.Санкт-Петербург, Омская улица, дом 25, литера А', 'г.Санкт-Петербург, улица Пилотов, дом 25, литера А', 'г.Санкт-Петербург, Пражская улица, дом 25, литера А', 'г.Санкт-Петербург, улица Куйбышева, дом 25, литера А', 'г.Санкт-Петербург, Фурштатская улица, дом 25, литера А', 'г.Санкт-Петербург, Тамбовская улица, дом 25, литера А', 'г.Санкт-Петербург, улица Новостроек, дом 25, литера А', 'г.Санкт-Петербург, Краснопутиловская улица, дом 25, литера А', 'г.Санкт-Петербург, Гончарная улица, дом 25, литера А']","[46493, 8449, 58901, 77699, 92905, 17425, 84868, 17041, 88561, 196903]"
"г.Санкт-Петербург, улица Коллонтай, дом 33, корпус 2, литера А",71446,"['г.Санкт-Петербург, улица Коллонтай, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, улица Ушинского, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, Парашютная улица, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, Загребский бульвар, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, улица Кораблестроителей, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, улица Композиторов, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, Тепловозная улица, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, проспект Просвещения, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, улица Стойкости, дом 33, корпус 2, литера А', 'г.Санкт-Петербург, улица Партизана Германа, дом 33, корпус 2, литера А']","[71446, 20388, 67555, 82482, 108661, 65586, 72103, 109533, 1037, 91454]"
"г.Санкт-Петербург, Богатырский проспект, дом 50, корпус 3, литера А",127950,"['г.Санкт-Петербург, Богатырский проспект, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, Пискарёвский проспект, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, Комендантский проспект, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, проспект Космонавтов, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, проспект Королёва, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, проспект Маршала Жукова, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, Новочеркасский проспект, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, шоссе Революции, дом 50, корпус 3, литера А', 'г.Санкт-Петербург, Новочеркасский проспект, дом 50, корпус 3, литера Б', 'город Красное Село, улица Свободы, дом 50, корпус 3, литера А']","[127950, 140372, 25425, 49078, 69962, 91616, 22036, 787, 107676, 110808]"
"г.Санкт-Петербург, улица Крыленко, дом 31, корпус 2, литера А",93564,"['г.Санкт-Петербург, улица Крыленко, дом 31, корпус 2, литера А', 'муниципальный округ Правобережный, улица Ворошилова, дом 31, корпус 2, литера А', 'г.Санкт-Петербург, улица Академика Лебедева, дом 31, корпус 2, литера А', 'г.Санкт-Петербург, улица Оптиков, дом 31, корпус 2, литера А', 'посёлок Понтонный, Южная улица, дом 31, корпус 2, литера А', 'г.Санкт-Петербург, Большая Озёрная улица, дом 31, корпус 2, литера А', 'г.Санкт-Петербург, Загребский бульвар, дом 31, корпус 2, литера А', 'г.Санкт-Петербург, Кирочная улица, дом 31, корпус 2, литера А', 'г.Санкт-Петербург, Канонерский остров, дом 31, корпус 2, литера Т', 'г.Санкт-Петербург, Камышовая улица, дом 31, корпус 2, литера А']","[93564, 139681, 101866, 128544, 196963, 8347, 23946, 206728, 28576, 132753]"
"г.Санкт-Петербург, Комендантский проспект, дом 35, корпус 4, литера А",16049,"['г.Санкт-Петербург, Комендантский проспект, дом 35, корпус 4, литера А', 'г.Санкт-Петербург, проспект Энергетиков, дом 35, корпус 4, литера А', 'г.Санкт-Петербург, проспект Авиаконструкторов, дом 35, корпус 4, литера А', 'г.Санкт-Петербург, Невский проспект, дом 35, литера А', 'г.Санкт-Петербург, Рыбацкий проспект, дом 35, корпус 4, литера А', 'г.Санкт-Петербург, Пулковское шоссе, дом 35, корпус 4, литера А', 'г.Санкт-Петербург, проспект Просвещения, дом 35, литера А', 'Лужский район, деревня Мерево, территория ""Центра оздоровления и отдыха ""Молодежный"", дом б/н, литера А', 'г.Санкт-Петербург, Ириновский проспект, дом 35, литера А', 'город Колпино, бульвар Трудящихся, дом 35, корпус 4, литера А']","[16049, 124834, 100138, 74906, 111725, 13461, 34895, 206325, 109822, 60411]"
